session_id,user_id,session_start,session_end,session_duration_mins,pages_visited,actions_taken,device_type,platform,is_bounce,pipeline_run_id
SES9A00BE94,3D3CE025,2024-08-28 22:44:00,2024-08-28 23:09:00,25.0,18,11,Mobile,Android,0,BOOTSTRAP_20240101_000000
SESC4D27E52,3D3CE025,2024-05-07 08:29:00,2024-05-07 09:06:00,37.0,6,7,Tablet,Web,0,BOOTSTRAP_20240101_000000
SES5BDFA6DF,64B76F35,2024-08-22 05:04:00,2024-08-22 05:39:00,35.0,15,8,Mobile,iOS,0,BOOTSTRAP_20240101_000000
SESFA87F810,D4B7626E,2024-06-26 15:04:00,2024-06-26 15:26:00,22.0,19,10,Tablet,Android,0,BOOTSTRAP_20240101_000000
SES144A73C5,F41A9082,2024-11-01 18:20:00,2024-11-01 18:47:00,27.0,6,2,Tablet,iOS,0,BOOTSTRAP_20240101_000000
SESC60C281C,64B76F35,2024-07-02 01:21:00,2024-07-02 01:54:00,33.0,18,12,Desktop,iOS,0,BOOTSTRAP_20240101_000000
SES4F3F0ECD,64B76F35,2024-08-02 22:49:00,2024-08-02 23:16:00,27.0,7,1,Desktop,iOS,0,BOOTSTRAP_20240101_000000
SES94F2CF03,6387E263,2024-05-09 21:23:00,2024-05-09 21:28:00,5.0,7,12,Tablet,iOS,0,BOOTSTRAP_20240101_000000
SESDB050413,DA5BCD00,2024-12-12 20:52:00,2024-12-12 21:27:00,35.0,4,11,Mobile,iOS,0,BOOTSTRAP_20240101_000000
SESF65888A4,6387E263,2024-03-18 02:02:00,2024-03-18 02:51:00,49.0,13,2,Desktop,Web,0,BOOTSTRAP_20240101_000000
