ticket_id,user_id,issue_type,priority,created_at,resolved_at,resolution_hours,status,satisfaction_score,pipeline_run_id
TKT7918E37B,C18A1D11,Payment Failure,High,2024-04-20 19:48:00,2024-04-21 06:48:00,11.0,closed,4,BOOTSTRAP_20240101_000000
TKT5C095BDD,F6C583DF,Product Defect,Low,2024-04-10 05:47:00,,,open,,BOOTSTRAP_20240101_000000
TKT1066223A,64B76F35,Product Defect,Critical,2024-04-13 21:50:00,,,open,,BOOTSTRAP_20240101_000000
TKT7E97E58F,4843C27E,Refund Request,High,2024-12-26 19:55:00,2024-12-27 06:55:00,11.0,closed,3,BOOTSTRAP_20240101_000000
TKT9716021E,4843C27E,Delivery Issue,Low,2024-06-19 01:37:00,2024-06-19 21:37:00,20.0,closed,3,BOOTSTRAP_20240101_000000
TKTFAF24D33,D4B7626E,Login Problem,Medium,2024-09-10 09:07:00,2024-09-10 14:07:00,5.0,closed,5,BOOTSTRAP_20240101_000000
TKTDE0D856C,3D3CE025,Login Problem,Medium,2024-11-11 10:42:00,2024-11-11 13:42:00,3.0,closed,5,BOOTSTRAP_20240101_000000
TKT3A79B285,3D3CE025,Refund Request,Medium,2024-03-23 21:01:00,2024-03-24 16:01:00,19.0,closed,2,BOOTSTRAP_20240101_000000
TKT89EBEE11,4843C27E,Product Defect,Low,2024-09-14 01:13:00,2024-09-14 18:13:00,17.0,closed,4,BOOTSTRAP_20240101_000000
TKTACB87482,F41A9082,Payment Failure,High,2024-01-19 00:53:00,2024-01-19 12:53:00,12.0,closed,2,BOOTSTRAP_20240101_000000
